Case_ID,Symptom_Description,Show_Command_Output,Expected_Fault,OSI_Layer,Concept_Tag,Severity
"Case_11","PC1 cannot ping the gateway or any other device.","S1# show vlan brief ... 99 active Fa0/1","PC1's switch port (Fa0/1) is assigned to the wrong VLAN (VLAN 99 instead of VLAN 10).","Layer 2 (Data Link)","VLAN Assignment","High"
"Case_12","PC1 cannot ping the gateway. VLAN 10 routing fails.","Router0# show run interface g0/0.10 ... encapsulation dot1Q 99","The router subinterface is configured to encapsulate the wrong VLAN ID (99 instead of 10).","Layer 2 (Data Link)","802.1Q Encapsulation","High"
"Case_13","PC1 and PC2 lose all connectivity. Link lights might be on but no pings.","S1# show vlan brief ... (VLAN 10 is completely missing from the list)","VLAN 10 was deleted from the switch's VLAN database.","Layer 2 (Data Link)","VLAN Database","High"
"Case_14","PC3 cannot ping the gateway. VLAN 20 routing fails.","Sw# show vlan brief ... 10 active Fa0/1","PC3's switch port (Fa0/1) is assigned to VLAN 10 instead of its correct VLAN 20.","Layer 2 (Data Link)","VLAN Assignment","High"
"Case_15","PC3 and PC4 cannot ping outside VLAN 20. Gateway is unreachable.","Router0# show ip interface brief ... Gi0/0.20 admin down down","The router subinterface for VLAN 20 (Gi0/0.20) is administratively shut down.","Layer 1/3","Interface Status","High"
"Case_16","Router sends traffic to a black hole. Specific subnets become unreachable.","Router0# show ip route ... S* 0.0.0.0/0 [1/0] via 192.168.10.99","A fake default static route is pointing to a non-existent next-hop IP address (192.168.10.99).","Layer 3 (Network)","Static Routing","Medium"
"Case_17","PC1 cannot ping PC3 or PC4. Inter-VLAN routing fails for VLAN 20.","Router0# show ip route ... S 192.168.20.0/24 is directly connected, Null0","A static route for VLAN 20 is pointing to the Null0 interface (a blackhole route).","Layer 3 (Network)","Static Routing","High"
"Case_18","VLAN 20 is completely down. Switch Sw cannot reach the router.","Router0# show ip interface brief ... Gi0/1 192.168.30.1 up up","The physical interface connecting to Switch Sw has the wrong IP address, breaking the link.","Layer 3 (Network)","Interface IP","High"
"Case_19","PC3 and PC4 cannot ping the gateway.","Router0# show ip interface brief ... Gi0/0.20 unassigned up up","The IP address was removed from the VLAN 20 subinterface.","Layer 3 (Network)","Router-on-a-Stick","High"
"Case_20","PC1 can ping the gateway, but routing fails for some external destinations.","Router0# show run interface g0/0.10 ... ip address 192.168.10.1 255.255.0.0","Router subinterface has an incorrect subnet mask (255.255.0.0 instead of 255.255.255.0).","Layer 3 (Network)","Subnetting","Medium"
"Case_21","PC1 is set to DHCP but gets a 169.254.x.x address. Cannot reach network.","PC1> ipconfig ... IP: 169.254.x.x. Router0# show run | include dhcp ... (Missing network command)","The DHCP pool on the router is missing the network statement to define the IP range.","Layer 7 (Application)","DHCP","High"
"Case_22","PC1 is set to DHCP but gets a 169.254.x.x address.","Router0# show ip dhcp pool ... (Shows 0 available addresses). show run | include excluded ... 192.168.10.1 192.168.10.254","The DHCP excluded-address range covers the entire subnet, leaving no IPs to lease.","Layer 7 (Application)","DHCP","High"
"Case_23","PC1 gets an IP via DHCP but cannot ping PC3 (Inter-VLAN routing fails).","PC1> ipconfig ... Gateway: 192.168.10.99. Router0# show run | include dhcp ... default-router 192.168.10.99","The DHCP server is assigning an incorrect default gateway to the clients.","Layer 7 (Application)","DHCP","High"
"Case_24","PC1 cannot resolve server names (e.g., ping server1 fails), but pinging IPs works.","PC1> ipconfig ... DNS Server: 8.8.8.8. PC1> nslookup server1 ... DNS request timed out.","DNS server is set to an unreachable external IP (8.8.8.8) instead of the local DNS server.","Layer 7 (Application)","DNS","Medium"
"Case_25","PC1 cannot resolve server names. Pinging the DNS server IP works.","PC1> nslookup server1 ... Server: 192.168.10.50 ... Non-existent domain.","The local DNS server is running but has no host (A) records configured in its database.","Layer 7 (Application)","DNS","Medium"
"Case_26","PC1 cannot ping PC3. Request timed out. Other traffic might work.","Router0# show access-lists 100 ... deny icmp any any. show run int g0/0.10 ... ip access-group 100 in","An inbound ACL on the router gateway is explicitly blocking ICMP (ping) traffic.","Layer 4 (Transport)","ACL (Access Control List)","Medium"
"Case_27","PC3 cannot access the web server on PC1 (port 80). Pings work fine.","Router0# show access-lists 101 ... deny tcp any any eq 80. show run int g0/0.20 ... ip access-group 101 in","An inbound ACL is blocking TCP port 80 (HTTP) traffic from reaching the server.","Layer 4 (Transport)","ACL (Access Control List)","Medium"
"Case_28","Wireless Laptop cannot connect to the wireless network at all.","Laptop Desktop -> Wireless Tab ... SSID is set to Guest_Net (AP is broadcasting Corp_Net)","The wireless laptop is configured with the wrong SSID (Network Name).","Layer 2 (Data Link)","Wireless SSID","High"
"Case_29","Wireless Laptop shows Connected but gets a 169.254.x.x IP and cannot ping.","Laptop Desktop -> Wireless Tab ... Password is incorrect. AP Security settings show WPA2 passphrase mismatch.","The Wi-Fi security passphrase (WPA2 password) typed on the laptop is incorrect.","Layer 2 (Data Link)","Wireless Security","High"
"Case_30","Wireless clients connected to the AP cannot get an IP or ping the gateway.","S1# show interfaces status ... Fa0/3 (Port where AP is connected) admin down down","The switch port connecting to the Wireless Access Point is administratively shut down.","Layer 1 (Physical)","Interface Status / Wireless","High"
